Designation,Email,Linkedin Connect,Met / Connected,Name,Organisation,Phone,Sl No,Type
Non Executive Director,,1361404800000,,Jitendra Pandit,ZF Steering Gear India Ltd,,333,
General Manager - Investment Analysis,,1318896000000,,John Mascarenhas,CLP Power India Pvt Ltd,,334,
Owner,,1528761600000,,Jonas Marrocu,EJB Trading AG,,335,
,,,,Jonathan Atkinson,Fotress Capital,,336,
Talent Acquisition Director / Global Head of Talent Acquisition,,1289952000000,,"Jonathan Gould,  MCIPD",SITA,,337,
General Counsel & Chief Operations Officer,,1289174400000,,Jonathan Hutchins,MedAccess.org,,338,
Director,,1348099200000,,joseph bhaskaran,"H I Talent Training , Hart India",,339,
Visiting Professor,,1481932800000,,Joseph Martin,"T.A.Pai Management Institute, Manipal",,340,
Forum Coordinator,,1409788800000,,Juhi Jain,Indian Coal Forum,,341,
Sr. Manager Commercial - Global Strategic Alliances & Product Development,,1423785600000,,Julka T.,Global Airport Services,,342,
Food Processing Equipments & Accessories manufacturers,,1338854400000,,K.Hari Prasad,GOWTHAMI PUMPS AND VALVES,,343,
Deputy Chief Financial Officer,,1401321600000,,Kailash Vaswani,ReNew Power Ventures,,344,
Business Head,,1398124800000,,Kalpesh Pathak,Do It Smart Infrastructure (India) Pvt Limited,,345,
Property & Real Estate Investments and Development,,1220400000000,,Kamal Sehgal,IKEA Group,,346,
"Director, IM Technology",,1224028800000,,Kamaljit Singh,Fidelity International,,347,
Director,,1411603200000,,Kamban S,Aquatherm Engineering consultants India P Ltd,,348,
Vice President - Projects,,1221091200000,,Kamlesh Jobanputra,Kotak Life Insurance,,349,
Finance Analytics,,1411948800000,,Kannan P.A.,Tata Consultancy Services,,350,
Postdoctoral Fellow,,1426204800000,,Kapil Narula,University of Geneva,,351,
Associate Investment Manager,,1421193600000,,Kapil Ostwal,Piramal Fund Management Pvt. Ltd.,,352,
"Executive Director, Co-Head - Digital & Technology Investment Banking",,1265328000000,,Karan Sharma,Avendus Capital,,353,
"Leveraged Finance, Africa and Europe",,1213488000000,,Karen Hadra,Standard Chartered Bank,,354,
Partner,,1521763200000,,Karl Cini,NEXIA BT,,355,
"Associate Director, Corporate Partnerships - Singapore, India & South Asia Sales Leader",,1345593600000,,Karthik Rajaraman,INSEAD,,356,
Investment Professional,,1496880000000,,Karthik Subramani,Brookfield Asset Management,,357,
Registered Insolvency Professional,,1410825600000,,Kashinath Palekar,Kashinath Palekar And Associates,,358,
Promoter & Senior Advisor,,1482105600000,,Kaushal Sampat,Rubix Data Sciences Private Limited,,359,
Officer on Special Duty (OSD) to the Hon. Chief Minister,,1339286400000,,Kaustubh Dhavse,Government of Maharashtra,,360,
"President HR - Essar Group, CEO- ECSLLP & CEO - Essar Foundation",,1509062400000,,Kaustubh Sonalkar,Essar,,361,
Consultant,,1426118400000,,Kavitha Subramanian,RKSV,,362,
Manager,,1254614400000,,"Kedia, Siddharth",Essar,,363,
Chair Of The Board Of Directors of Radisson Blu Azuri Resort & Spa,,1523232000000,,Kevin Teeroovengadum,Radisson Hotel Group,,364,
"Recruitment Head - ""C"" Consultancy",,1398124800000,,Khushi (Hiring for Sr. HR),Clements Consultancy Ltd,,365,
Principal Associate ,,1482192000000,,Khusnuma Nagwaswalla,IndusLaw,,366,
Corporate Chairman,,1551139200000,,Kiran Kumar Grandhi,GMR Infrastructure,,367,
Director,,1410480000000,,Kiran Malla,EY,,368,
"DGM, Corporate Strategy",,1233705600000,,Kishore Purohit,Nirlon Limited,,369,
Senior Business Development Manager,,1290729600000,,Kitty Chim,Aggreko,,370,
Senior Consultant,,1296691200000,,Komal Todankar,Indusion Consulting,,371,
Director,,1254268800000,,Koome Gikunda,Actis,,372,
AVP- Corporate Affairs,,1397865600000,,Krishna Kushwaha,Tata Asset Management Limited,,373,
Director - Sustainability & GRC,,1401667200000,,Krishna Murty,AgriLiving (E.A) Limited,,374,
Investment Analyst,,1518652800000,,Krishna Pathak,IFC - International Finance Corporation,,375,
Founder,,1536278400000,,Krishna PV,Siri Growth Fund,,376,
Associate Director Business Development,,1496966400000,,Kruti Rawal,CRISIL Limited,,377,
Global BU Service IS Manager - DMMG,,1476403200000,,kulman kapoor,ABB,,378,
"Project Finance Advisor (PFA for INDIA, AS-PEC)",,1481932800000,,Kumar  A. Shah,"Morgan Stearns Corp.,",,379,
Director Engagement,,1328486400000,,Kunal Ghosh,Accord Group India,,380,
Chief Business Officer,,1450396800000,,L V L N Murty,IFMR Rural Channels and Services,,381,
Managing Partner,,1252281600000,,L V N Muralidhar,Lastaki Advisors Private Limited,,382,
Partner,,1227657600000,,Labi Idan Williams,Kuramo Capital Management,,383,
CEO (Solar Int'l),,1528761600000,,Lalit Jain,Hindustan Powerprojects Private Limited,,384,
Associate Vice President,,1479081600000,,Laxman Negi,Srei Infrastructure Finance Limited,,385,
Business Head - ORIGINS,,1251158400000,,Lokanathan Nadar,Mahindra Lifespace Developers Ltd.,,386,
Lead. Process Engineer,,1253145600000,,Lopamudra Moulik,Jurong Aromatics Corporation,,387,
"Partner, Renewables",,1220659200000,,Lucy Heintz,Actis,,388,
Executive & Career Coach,,1333065600000,,Luis Moniz,FrontRunner Career Advisors,,389,
Managing Director,,1393372800000,,Luka Buljan,Berkeley Energy,,390,
Foreign Legal Consultant,,1482192000000,,Luke Devine,HHP Law Firm (member firm of Baker & McKenzie International),,391,
Partner,,1513123200000,,Luke Sterner,Metropolis Energy LLC,,392,
Chief Investment Officer,,1221609600000,,Luv Shah,Invel Real Estate Partners,,393,
"Manager, Resourcing, Human Resources ",,1341360000000,,Lynn Liu,Prudential Hong Kong,,394,
Head Of Treasury,,1441238400000,,M. Durai,NBFC - MFI,,395,
,,,,Madhu Therdal,GMR,,396,
Executive Director,,1227657600000,,Madhusudan Sharma,HomeCapital,,397,
Investment Principal,,1252022400000,,"Mahadevia, Viraj",Actis,,398,
CFS,,1336521600000,,Mahak Jain,BNP Paribas,,399,
Director,,1399161600000,,Mahendra Bisht,Global Infrastructure Partners India,,400,
Partner,,1481673600000,,Mahesh Chhabria,Actis,,401,
Director,,1531353600000,,Mahesh Krishnamurthy,"WiseLane Ventures Pvt Ltd.,",,402,
Director,,1336521600000,,Mahesh KS,Avista Corporate Finance Advisory Pvt. Ltd.,,403,
Senior Energy Advisor USAID Haiti,,1238803200000,,Mahmood Mir IEng  SenMWeldI,U.S. Agency for International Development Haiti,,404,
Chairman,,1400544000000,,Malvinder Singh,Founder & Chairman of SMD (P) Limited A JV Between EDF Energie Nouvelle & Sitac Group,,405,
"Principal - Strategy & Change, UK and Europe",,1329782400000,,Manas Nath,Tata Consultancy Services,,406,
Partner,,,,Manikkan Sangameswaran,ICICI Venture,,407,
Founder Director,,1398729600000,,Manikkan Sangameswaran,Origin Renewables Private Ltd.,,408,
Group Treasurer,,1496016000000,,Manindra Gupta,iGATE-Patni,,409,
,,,,Manish Agarwal,KPMG,,410,
"Partner, Infrastructure Advisory",,1460332800000,,Manish Agarwal,PricewaterhouseCoopers India,,411,
General Manager - IT,,1229558400000,,Manish Agrawal,Actis,,412,
Principal,,1487808000000,,Manish Baid,LibGem Solutions,,413,
Founder & Managing Director,,1368489600000,,Manish Chhajed,Sweat Equity Partners,,414,
Financial Analyst,,1415145600000,,Manish Choudhary,ENGIE,,415,
Director,,1362268800000,,Manish Gupta,Gazelle Internet OPC Pvt. Ltd.,,416,
Co-Founder & Partner,,1269302400000,,Manish Jain,Envint,,417,
Consulting Director,,1542758400000,,Manish Johari,Maple Capital Advisors,,418,
Deputy General Manager - Investor Relations,,1454889600000,,"Manish Kayal, CA, CFA",Larsen & Toubro,,419,
Managing Partner,,1489449600000,,Manish Malik,SkyRoute Capital,,420,
Director,,,,Manish Rajawat,Intellectual Capital,,421,
Marketing Head,,1236038400000,,Manish Samtaney,Weber-Stephen Products LLC,,422,
Global Breakfast Category-Innovation lead,,1220400000000,,Manish Sharma,Kellogg Company,,423,
Founder & CEO,,1368489600000,,Manishh Anand,Utilis Capital,,424,
Section Head - Revenue Assurance,,1547769600000,,MANOJ KUMAR SINGH,Ooredoo Oman,,425,
President & Chief Customer Service Executive,,1359331200000,,Manoj Motta,Banyan Resources - 'High Consumer Touch Point - Soft & Social Infrastructure,,426,
Vice President-International Solar & Wind,,1364601600000,,Manoj Verma,Moser Baer Clean Energy Limited,,427,
Founder and Managing Partner,,1327881600000,,Manu Chandra,Sauce.vc,,428,
Founder,,1538524800000,,Manu Talwar,United Machinery,,429,
Managing Director,,1312329600000,,manu trivedi,Vikram Logistic and Maritime Services Pvt. Ltd.,,430,
"SVP, Infrastructure Investments team",,1251417600000,,Manutosh Mathur,"Mariner Investment Group, LLC",,431,
Non Executive Director,,1334102400000,,Mark Pay,Globeleq,,432,
"Manager, Investment Attraction, Minerals and Energy",,1338854400000,,Mark Wadewitz,Investment Attraction South Australia,,433,
,,,,Mathew Lim,GIC,,434,
Director,,1303948800000,,Mayank Bansal,Global Infrastructure Partners,,435,
Managing Director,,1481932800000,,Mayank Garg,VLNG | Small Scale LNG,,436,
Director,,1455580800000,,Mayank Jain,PwC India,,437,
Independent Advisor and Director,,1398643200000,,Meb Somani,"State Oil Company, Oil Exploration Fund, Technology Company",,438,
Founder & Director,,1459123200000,,Meenakshi Ginodia Jalan,Inventivo India,,439,
Head - Capital Raising,,1224547200000,,Meghana Pandit,IndiGrid (Sterlite Power),,440,
Co-Founder & CEO,,1351123200000,,Merzi Sodawaterwala,Rockpool Recycling,,441,
Partner,,1234224000000,,Michael Harrington,Actis,,442,
"Partner, Co Head of Energy",,1379894400000,,Michael Till,Actis,,443,
CEO,,1334361600000,,Mickey V. Mehta,Chemical Finance Limited,,444,
"Chief Operating Officer, Asia",,1373241600000,,Mickey V. Mehta,Liberty Commodities,,445,
Partner,,1303948800000,,Mihir G. Shah,EY,,446,
"Partner, Head of Energy, member of Executive Committee",,1379721600000,,Mikael Karlsson,Actis,,447,
Vice President,,1222732800000,,Milan Kulkarni,WNS Global Services,,448,
Principal,,1253836800000,,Milind Agrawal,Global Infrastructure Partners India,,449,
Managing Director,,1322006400000,,Milind Gaharwar,Rhenus Logistics Pte Ltd,,450,
Partner,,1254441600000,,Milind Joshi,"Global Infrastructure Partners, India",,451,
Senior Product Manager,,1228435200000,,Minati Shah,Etrade Financial,,452,
Senior Legal Team Member ,,1465430400000,,Mini Gyan Gautam,L&T Financial Services,,453,
Head Syndications & Other Infra Sales,,1241654400000,,Mitheel Mody,Tata Cleantech Capital,,454,
Vice President- Corporate Finance & Treasury,,1375315200000,,Mithun Gole,CLP India Pvt. Ltd.,,455,
Founder,,1317513600000,,Mitin Jain,India SME Investments,,456,
,,1538611200000,,Mitin Shah,,,457,
CEO,,,,MK Sinha,IDFC Alternatives,,458,
Director,,1233705600000,,Mohan Srinivasan,Pictoris Consulting Private Ltd,,459,
Senior Partner,,1550707200000,,Mohit Saraf,L&L Partners,,460,
Assistant Vice President  - Fixed Income Advisory,,1453334400000,,Mounita Thakur,Spark Capital Advisors (India) Private Limited,,461,
Associate Director,,1335571200000,,Mufaddal Cementwala,Motilal Oswal Investment Advisors Private Limited,,462,
Chief Manager,,1348099200000,,Mukesh  Agarwal,Arcil,,463,
President,,1508889600000,,Mukesh Soni,AION Capital Partners,,464,
Director,,1368576000000,,Mukesh Tiwari,Actis,,465,
Chief Investment Officer,,1493078400000,,Mukund Kannappan,JM Financial Credit Alternatives,,466,
CEO,,1480636800000,,Mukundan K,UTI Capital Pvt Ltd.,,467,
,,,,Mukundan K,UTI Infra Fund,,468,
CEO,,1417392000000,,Muralidharan Krishnamoorthy,Karaikal Port,,469,
Assistant Vice President,,1533168000000,,Nagasiva  Kumara Swamy,SBI Capital Markets,,470,
Managing Partner,,1520985600000,,Nagesh Wagh,Vito India Advisors,,471,
Global Service Leader -Xpend Services,,1261353600000,,Nakul Sharma,Novartis,,472,
Head Of Investment Banking,,1533340800000,,Nalin Kumar,IDBI Capital Markets & Securities Ltd.,,473,
Director,,1412553600000,,Namit Arora,Standard Chartered Private Equity,,474,
Partner,,1543190400000,,Nanda Sethi,Positive Moves,,475,
Associate,,1408320000000,,Nandini Ravindranath,Steer,,476,
Financial Controller,,1307664000000,,Narasimha Rao Mantri,BluJay Solutions,,477,
Managing Director,,1359331200000,,Nardi Datcu,PRIOS Industry Systems & Services,,478,
Principal,,1534636800000,,Narendra Singh,KKR & Co. Inc.,,479,
Consultant,,1449273600000,,Naresh Malhotra,Independent accredited Consultant with several International consulting aggregators in Banking,,480,
Lead Architect - Cloud Tranformation,,1333065600000,,Naresh Mani,IBM,,481,
Chief Investment & Strategy Officer,,1323907200000,,Naveen Khandelwal,Hero Future Energies,,482,
Merchant Exporter (Agro based- Fruits/ Nuts/ Spices/Vegs) other Eco-Friendly/ Biodegradable Products,,1479081600000,,Naveen Krishna,Independent,,483,
Investment Professional,,1438041600000,,Navin Mishra,ENGIE,,484,
"Head - Infrastructure, Real Estate and Cement (Investment Banking - Corporate Finance)",,1466467200000,,Navneet Singh,HDFC Bank,,485,
Chief Operating Officer,,1397779200000,,Navneet Trivedi,Vrinda Inc,,486,
Senior Vice President,,1543449600000,,Nawal Saini,Brookfield Asset Management,,487,
Sr. Investment Manager (AGM),,1348099200000,,NEEL VORA,Network18 Media & Investments Limited,,488,
Analyst & knowledge Manager,,1308700800000,,Neepa Dalal,Actis,,489,
Partner,,1408752000000,,neeraj garg,PwC,,490,
Director,,1405641600000,,Neeraj Shrimali,Avendus Capital,,491,
Associate Principal,,1221696000000,,Neha Agarwal,Ikya Search Partners (Executive search division of Ikya Human Capital Solutions Pvt. Ltd.),,492,
Consultant,,1360022400000,,Neha Gupta,Cyril Amarchand Mangaldas,,493,
COO,,1344816000000,,Neha Manaktala,Brismo (AltFi Data),,494,
"Managing Director, Head of Investor Relations & External Affairs",,1299974400000,,Nia Gandy White,Astra Capital Management,,495,
Head of Private Placements,,1475625600000,,Nick Chronias,First Avenue Partners LLP,,496,
Head Structure Finance - Global,,1451433600000,,Niketa Kothari,Blend Financial Services Ltd,,497,
Partner and Head Forensic Services,,1446768000000,,Nikhil Bedi,Deloitte Touche Tohmatsu India LLP,,498,
Vice President,,1372809600000,,Nikhil Dawda,Motilal Oswal Financial Services Ltd,,499,
Chief Executive Officer,,1336521600000,,Nikhil Dhingra,Acme Solar Holdings,,500,
Executive Director,,1525737600000,,Nikhil Garg,BNP Paribas Securities India,,501,
Head Structured Credit & Political Risk,,1504569600000,,Nikhil Jain,Jardine Lloyd Thompson Asia,,502,
Vice President,,1444089600000,,"Nikhil kapoor, CFA",EY,,503,
Director,,,,Nikhil Shirodkar,GNV Right Select,,504,
"Head,Business Development-BFSI",,1292284800000,,Nilesh Wani,Datamatics Staffing,,505,
Managing Director,,1315094400000,,Nimesh Shah,Percipient Capital Advisors,,506,
Managing Director,,1300924800000,,Niren Shah,Bishop Rock Consulting Private Limited,,507,
General Manager - Project Finance ,,1364774400000,,Nishant Bachkheti,Hero Future Energies,,508,
Corporate Banking Professional,,1550102400000,,nishant singh,HSBC,,509,
"Head of Research, Institutional Equities",,1302134400000,,Nitin Bhasin,Ambit Capital,,510,
"CEO, PE",,,,Nitin Deshmukh,Kotak Mahindra Capital Company,,511,
Senior manager,,1334102400000,,Nitin G,Tata Capital,,512,
Fund Manager,,1264291200000,,Nitin Gupta,IIML Investment Managers Pte Ltd (IL&FS Private Equity),,513,
General Manager Sales,,1418428800000,,Nitin Gupta,Vikram Solar Private Limited,,514,
"Head of Corporate Finance, Investment Banking",,1433203200000,,Nitin Jain,HDFC Bank,,515,
VP - Investments,,1385942400000,,Nitin Naveen Singh,NIIF,,516,
Associate Director-Finance and PPP Expert-Smart City Projects,,1398729600000,,Nitin Suri,AECOM Asia ,,517,
Private Equity,,1295568000000,,Nitish Aggarwal,Everstone Capital - Private Equity,,518,
Principal - Special Solutions,,1358726400000,,Nupur Satija,Amplus Solar,,519,
Executive Consultant New Project,,1368489600000,,Omprasad Mishra,M/s Lottus,,520,
"Director, Project Finance",,1499731200000,,Omri Halevi,BDO Consulting Group,,521,
Vice President Legal,,1303948800000,,Pamela Kar,Barclays Investment Bank,,522,
Investment Director,,1275782400000,,Pankaj Raina,"Zephyr Management, L.P.",,523,
Executive Director,,1253750400000,,Pankaj Sakhuja,Enervello Projects Private Limited,,524,
Business Development Specialist,,1226793600000,,Parag Majumdar,Foreign Trade Policy Advisory Firm,,525,
Chief Operating Officer,,1351036800000,,Parag Sharma,ReNew Wind Power Private Limited,,526,
Chief Executive Officer,,1274227200000,,Paresh Sheth,MNC Investment Bank,,527,
Head: Infrastructure and Real Estate - Investment Banking,,1261440000000,,Parin Mehta,Edelweiss Financial Services,,528,
Vice President - Business Development,,1375228800000,,Parish Gupta,NV Vogt Solar,,529,
Partner,,1253145600000,,Paritosh Dwivedi,Baker Tilly DHC,,530,
Group Chief Security Officer,,1356912000000,,"Parthasarathy P ACA, CISA, CGEIT, CRISC",Largest Bank in GCC,,531,
DGM-Projects Infrastructure,,1390867200000,,Parthiv Jethi,Shaporji Pallonji Infrastructure Capital Company Limited,,532,
Senior Director Human Resources,,1221264000000,,Parul Gupta,Myntra Jabong,,533,
Head- Business Development,,1306713600000,,Parul Kulshreshtha Singh,GMR Hyderabad Air Cargo & Logistics Pvt. Ltd.(formerly Hyderabad Menzies),,534,
"SVP - Corporate Finance, Head - Consumer",,1213228800000,,Parvesh Gupta,HDFC Bank,,535,
Director,,1278633600000,,Patrick Helson,Swordbridge Sdn. Bhd.,,536,
Director,,1396742400000,,Paul Hanrahan,AquaVenture Holdings ,,537,
Chief Executive Officer,,1465171200000,,Paul Kunert,Joule Africa,,538,
Founder and Managing Partner,,1397952000000,,Pavan A. Gupte,Bombay Central Advisors LLP / Gupte Family Office,,539,
Principal,,1479168000000,,Pavan Bhalla,Positive Moves,,540,
Director,,1401667200000,,Pavan Geddam,Palette Business Consulting Pvt. Ltd,,541,
Vice President,,1483747200000,,Pawan Agarwalla,National Investment and Infrastructure Fund (NIIF),,542,
Partner,,1408579200000,,Pawan K,3NS Capital Ventures P. Ltd.,,543,
"Head - South Pacific, South Asia and EMEA- Structured Debt Solutions",,1453334400000,,Peeyush Pallav,DBS Bank,,544,
Policy Adviser,,1424131200000,,Peter Kim,Infrastructure Partnerships Australia,,545,
Director,,1282435200000,,Phalguni R,See & Recruit (India) Pvt Ltd,,546,
Senior Investment Manager,,1249430400000,,"Phanidhar Yella, CFA, CAIA",National Real Estate Co.,,547,
Chief Financial Officer,,1254355200000,,Philip Patman,"VAALCO Energy, Inc",,548,
"Director, Intermediated Equity (Special Projects)",,1452556800000,,Pierre Van Hoeylandt,CDC Group plc,,549,
"CEO, Amp India (AMPSolar India Pvt. Ltd.)",,1334534400000,,Pinaki Bhattacharyya,Amp.energy,,550,
Head Group Executive Office,,1480464000000,,Piush Kothari,Welspun Group,,551,
Partner,,1212883200000,,Piyush Goenka,Tano Capital,,552,
Director (Government - Transaction Advisory Services),,1277769600000,,Piyush Jain,EY,,553,
"Investment Director, Intermediated Equity - Asia",,1219708800000,,Piyush Jhawar,CDC Group plc,,554,
CMD,,1327536000000,,Poornesh K.K,BriCASA Developers and Infra Pvt.Ltd,,555,
Chief Investment Officer,,1497484800000,,Porus Satwe,SNS Group - Middle East & Africa,,556,
Partner,,1551139200000,,PR Srinivasan,Xponentia,,557,
Sr. Vice President (Americas - Tech Services & SaaS) ,,1317513600000,,Prabhu Antony,Sett & Lucas ,,558,
Partner - Transaction Advisory Services,,1386979200000,,Prabhu K M,BDO India LLP,,559,
Partner,,1212451200000,,Prabir Talati,Wingspan Funds,,560,
Managing Director,,1454889600000,,Prahlad Tripathi,Eton Advisors Pvt Ltd,,561,
Chief Executive Officer,,1406332800000,,Prakash V Danthuluri,Cherish Photography,,562,
Private Equity Asia,,1411084800000,,Prakul Kaushiva,CPP Investment Board,,563,
Independent Director,,1212883200000,,Pramod Kasat,Advanced Enzyme Technologies Ltd,,564,
Vice President Business Analytics,,1278633600000,,Pranav Kapoor,EY,,565,
Assistant Vice President,,1548806400000,,Pranav Kotwal,EIG Global Energy Partners,,566,
Principal,,1474070400000,,Pranob Gupta,IIFL Alternate Asset Advisors Limited,,567,
Head - Corporate Communications - India & South Asia,,1257897600000,,Prasanna Kotian,Visa,,568,
Director Of Finance And Operations,,1345593600000,,Prashant Kothari,Cleantech Solar,,569,
Director,,1251417600000,,Prashant Kumar,Indifi,,570,
Founder & Managing Partner,,1436227200000,,Prashant Maniar,Encito Advisors,,571,
Corporate Finance and treasury ,,1454889600000,,Prashant Narkhede,CLP,,572,
Asst Vice President- Investment Banking ,,1410825600000,,Prasshant Sowmithry B,Punjab National Bank Investment Services Limited,,573,
Executive Director,,1403308800000,,Prateek Diwan,Arpwood Capital,,574,
Director,,1493078400000,,Prateek Jhawar,Avendus Capital Private Limited,,575,
Director,,1334448000000,,Pratik Jain,Actis,,576,
Board Director,,1379894400000,,Pratik Nowlakha,Paradise Food Court,,577,
Vice President (North India),,1362960000000,,"Pratik Sethi, CFA",Ambit Private Limited,,578,
Co Founder,,1418688000000,,Praveen Jain,Zast Logisolutions Private Limited,,579,
Professor of Marketing,,1404777600000,,Praveen Kopalle,dartmouth college,,580,
Portfolio Head - SME Banking,,1408406400000,,Praveen Nair,Standard Chartered Bank,,581,
"Appraisal and Risk Evaluation Specialist, ADB TA 8799-IND",,1367452800000,,Premesh Sharma,Asian Development Bank (ADB),,582,
"Head / GM Talent Management, Talent Acquisition Process & Technology & Job Evaluation ",,1307836800000,,Prince Anuraag Mishra,"Mahindra and Mahindra Limited [Automotive, Farm Equipment and Agri Business]",,583,
CEO & MANAGING DIRECTOR,,1435968000000,,Prince Xavier Kuriakose,JIREH GLOBAL INVESTMENTS LIMITED,,584,
"Director, Capital Markets",,1379721600000,,Prithijit Chaudhury,JLL,,585,
Principal & Head- Financial Services at ABC Consultants Pvt Ltd,,1221004800000,,Priti Lathia,ABC Consultants,,586,
Partner,,1421366400000,,Priyanka Mazumdar,The Taplow Group S.A.,,587,
"Director, India - Real Estate & Infrastructure",,1538611200000,,Puneet Alag Singh,GRI Club,,588,
Director - Corporate Lending & Syndications,puneet.chaudhary@gmail.com,1517875200000,,Puneet Chaudhary,InCred - Borrow. With Confidence.,,589,
Associate Director (Equity Research),,1496102400000,,"Puneet Gulati, CFA",HSBC,,590,
Venture Partner,,1422662400000,,Pushpamitra (Pushp) Das,Z Nation Lab,,591,
Head - ECM,,,,PV Krishna,Goldman Sachs,,592,
Director,,1535241600000,,R.Chand Shankar,Horizon Power Consultants,,593,
Advisor to MD,,1425513600000,,R.S. SREENIVAS,Greenko Energies Pvt Ltd,,594,
AGM & Principal - Energy and Infrastructure,,1362268800000,,Rachit Verma,ICRA Management Consulting Services Limited (IMaCS),,595,
Associate Partner,,1278460800000,,Radha Mulani,IKYA Search Partners â€“ A Division of Quess Corp Limited,,596,
Presenter/Commentator,,1253232000000,,Radhakrishnan Sreenivasan,STAR Sports,,597,
"Director - Enterprise, India",,1274227200000,,Raghav Sehgal,Udacity,,598,
MD&CEO,,,,Raghunath T V,Kotak Mahindra Capital Company,,599,
Founder,,1410480000000,,"Raghuraman Ramachandran, CQF",TradeWins Ltd,,600,
Joint Managing Director,,1547942400000,,Rahul  Satpute,UniTech Precision Group | India,,601,
Director,rahulagrawal_us@yahoo.com,1212710400000,,Rahul Agrawal,Actis,,602,
Member of Board,,1372636800000,,Rahul Garg,Future Retail,,603,
Vice President,,1530662400000,,Rahul Garg,SREI Infrastructure Finance Limited,,604,
Chief Executive Officer,,1285286400000,,Rahul Mishra,Rays Future Energy,,605,
Managing Director,,1464998400000,,Rahul Mody,Ambit Corporate Finance,,606,
Chief Strategy Officer,,1474070400000,,Rahul Saikia,FDC Limited,,607,
Vice President,,1524182400000,,Rahul Suri,Yes Securities Ltd.,,608,
Business Director,,1220313600000,,Raina Rawat,Executive Access,,609,
CEO,,1537488000000,,Raj Bhatt,Elara Capital Plc,,610,
Group CEO - Energy Business ,,1399507200000,,Raj Kumar Roy,Hindustan Power Projects Pvt. Ltd. ,,611,
Principal Private Sector Operations,,1539216000000,,Rajat Misra,Asian Infrastructure Investment Bank,,612,
Manager,,1380499200000,,Rajat Misra,Asian Infrastructure Investment Bank,,613,
Sr. Research Analyst,,1502668800000,,Rajeev Darji,Phillip Capital India Pvt. Ltd.,,614,
Managing Director,,1501545600000,,Rajeev M.R.,RSA CORP (www.rsacorp.in) ,,615,
Founder & Managing Partner,,1307664000000,,Rajesh Begur,ARA LAW,,616,
Investment Banking,,1297123200000,,Rajesh Katare,Systematix Capital Services Pvt. Ltd.,,617,
Advisor,,1368489600000,,Rajesh Narayan,Equinox Corporates LLC,,618,
"Vice President, International Finance",,1482883200000,,Rajesh Raghavan,First Abu Dhabi Bank (FAB),,619,
CEO,,1363132800000,,"Rajesh Ranjan, CFA, CAIA",NABVENTURES Limited,,620,
Partner,,1415491200000,,Rajesh Samson,Deloitte Touche Tohmatsu India,,621,
Managing Partner,,1365638400000,,Rajesh Sehgal,Equanimity Investments,,622,
Co-Founder,,1539216000000,,Rajesh Vyas,Shortest Path Pvt Ltd,,623,
,,,,Rajib GUHA,,,624,
Associate Director - International Banking,,1438560000000,,Rajiv Cherian,ANZ,,625,
Executive Director,,1452470400000,,Rajiv Puri,Bharat Heavy Electricals Limited,,626,
Head Of Training And Development,,1259971200000,,Rajiv Vohra,Novo Nordisk,,627,
Vice President - Corporate Advisory Services,,1333065600000,,"RAJKUMAR RATHI, CFA, FRM, CA",ICICI Securities,,628,
Senior Vice President & General Manager - Asia Pacific,,1468281600000,,Rajneesh Wadhwa,Lyte Energy Inc,,629,
Country Head and MD - Investment Banking,,1327536000000,,Rajnish Rangari,Global Trustcapital Finance Private Limited,,630,
Executive Vice President,,1446768000000,,Rajsekhar Budhavarapu,Greenko Group,,631,
Co-Founder & Director,,1345593600000,,Raju Datla,Argo Solar Private Limited,,632,
Head - Investment Banking,,1553817600000,,Rakesh Singh,HDFC Bank,,633,
"Senior Director & Head, Government Relations (India & South Asia)",,1309737600000,,"Ram Rakkappan, Ph.D",Visa,,634,
Managing Director & CEO,,1456099200000,,Ram Walase,VBHC Value Homes Ltd,,635,
Chief Executive Officer - Private Equity,,1468368000000,,Ramakrishna KV,Kotak Investment Advisors Ltd ,,636,
Principal,,1399248000000,,RamaMurty Yadavalli,Y Square Business Solutions,,637,
VP Infrastructure,,1525737600000,,Raman Gupta,Ambit Private Limited,,638,
CFO & Director Finance,,1539216000000,,Raman Jaggi,"Riverdale Commodities (Energy, Mining & Infrastructure)",,639,
Co-Founder & CEO,,1318896000000,,Ramani 'Ram' Ramachandran,ZPX ,,640,
Director,,,,Ramani Ramchandran,Global Advisors,,641,
Proprietor,,1364428800000,,Ramesh Mahay,Ditya Rating Advisors,,642,
Owner,,1398038400000,,Ramprasad M,MAPE Advisory Group,,643,
COO & Business Head-WUBS and New Initiatives,,1291248000000,,Ranu Parwal,Weizmann Forex Ltd,,644,
Managing Director,,1470960000000,,Ranveer Sharma,Vaillant Capital Partners,,645,
Group CEO,,1533600000000,,RaphaÃ«l Walewski,Touax,,646,
Strategy Consultant,,1509494400000,,Rasesh Khetan,Delta Strategic Advisors,,647,
Director,,1413417600000,,Raunak Gupta,The Rohatyn Group,,648,
Regional Credit Manager,,1311206400000,,Ravi Kant,DHFL,,649,
Founder and Director,,1411689600000,,Ravi Subramanian,Iridis Advisory Private Limited,,650,
Deputy Vice President,,1275782400000,,Ravi Udesshi,IndusInd Bank,,651,
Co-Founder,,1302134400000,,Ravinder Vashist,Roots Ventures,,652,
"Chief  - M&A, Strategic Finance & Resurgent Investment Platform",,1446768000000,,RAVINDRA  B  H  SHARMA,TATA Power,,653,
